"Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","meanAQI","meanLatitude","meanLongitude","month","year"
2018-01-01,"Bryson City","PM2.5","Swain",35,35.434767,-83.442133,1,2018
2018-01-01,"Castle Hayne","PM2.5","New Hanover",13,34.364167,-77.838611,1,2018
2018-01-01,"Clemmons Middle","PM2.5","Forsyth",24,36.026,-80.342,1,2018
2018-01-01,"Durham Armory","PM2.5","Durham",31,36.0329550008979,-78.904037,1,2018
2018-01-01,"Garinger High School","Ozone","Mecklenburg",32,35.2401000008895,-80.785683,1,2018
2018-01-01,"Garinger High School","PM2.5","Mecklenburg",20,35.2401000008895,-80.785683,1,2018
2018-01-01,"Hattie Avenue","PM2.5","Forsyth",22,36.110693332,-80.2264378,1,2018
2018-01-01,"Leggett","PM2.5","Edgecombe",14,35.988278,-77.5843,1,2018
2018-01-01,"Millbrook School","Ozone","Wake",34,35.856111,-78.574167,1,2018
2018-01-01,"Millbrook School","PM2.5","Wake",28,35.856111,-78.574167,1,2018
2018-01-01,"Pitt Agri. Center","PM2.5","Pitt",15,35.6412760008938,-77.360126,1,2018
2018-01-01,"West Johnston Co.","PM2.5","Johnston",24,35.59095,-78.4622,1,2018
2018-01-02,"Bryson City","PM2.5","Swain",51,35.434767,-83.442133,1,2018
2018-01-02,"Castle Hayne","PM2.5","New Hanover",15,34.364167,-77.838611,1,2018
2018-01-02,"Clemmons Middle","PM2.5","Forsyth",40,36.026,-80.342,1,2018
2018-01-02,"Durham Armory","PM2.5","Durham",37,36.0329550008979,-78.904037,1,2018
2018-01-02,"Frying Pan Mountain","PM2.5","Haywood",7,35.379167,-82.7925,1,2018
2018-01-02,"Garinger High School","Ozone","Mecklenburg",31,35.2401000008895,-80.785683,1,2018
2018-01-02,"Garinger High School","PM2.5","Mecklenburg",38,35.2401000008895,-80.785683,1,2018
2018-01-02,"Hattie Avenue","PM2.5","Forsyth",25.5,36.110693332,-80.2264378,1,2018
2018-01-02,"Leggett","PM2.5","Edgecombe",20,35.988278,-77.5843,1,2018
2018-01-02,"Linville Falls","PM2.5","Avery",12,35.972347,-81.933072,1,2018
2018-01-02,"Millbrook School","Ozone","Wake",31,35.856111,-78.574167,1,2018
2018-01-02,"Millbrook School","PM2.5","Wake",38.5,35.856111,-78.574167,1,2018
2018-01-02,"Pitt Agri. Center","PM2.5","Pitt",28,35.6412760008938,-77.360126,1,2018
2018-01-02,"West Johnston Co.","PM2.5","Johnston",35,35.59095,-78.4622,1,2018
2018-01-03,"Bryson City","PM2.5","Swain",44,35.434767,-83.442133,1,2018
2018-01-03,"Castle Hayne","PM2.5","New Hanover",18,34.364167,-77.838611,1,2018
2018-01-03,"Clemmons Middle","PM2.5","Forsyth",68,36.026,-80.342,1,2018
2018-01-03,"Durham Armory","PM2.5","Durham",58,36.0329550008979,-78.904037,1,2018
