site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,year,date,depth (m),organism_code,type,s1 (0-20m),s2 (25-45m),s3 (50-70m),s4 (75-95m),fish_recorded_by,inverts_recorded_by,errors,what_errors
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Butterflyfish,Fish,3,9,8,7,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Haemulidae,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Snapper,Fish,0,0,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Barramundi Cod,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Humphead Wrasse,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Bumphead Parrot,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Parrotfish,Fish,0,0,2,1,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Moray Eel,Fish,0,1,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Grouper 30-40 cm,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Grouper 40-50 cm,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Grouper 50-60 cm,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Grouper > 60 cm,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Grouper Total,Fish,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Banded Coral Shrimp,Invertebrate,0,0,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Diadema,Invertebrate,1,3,1,4,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Pencil Urchin,Invertebrate,0,1,0,1,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Tripneustes,Invertebrate,113,6,9,10,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Edible Sea Cucumber,Invertebrate,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,COTS,Invertebrate,0,0,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Triton,Invertebrate,0,0,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Lobster,Invertebrate,0,0,0,0,"","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Giant Clam < 10 cm,Invertebrate,"","","","","","",false,""
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,2008,16-March-08,10.5,Giant Clam 10-20 cm,Invertebrate,"","","","","","",false,""
