site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,region,year,date,depth (m),substrate_recorded_by,fish_recorded_by,inverts_recorded_by,team_leader,team_scientist
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,United States of America,Indo-Pacific,2008,16-March-08,10.5,"","","",Krista Heide Pierce,Kara Osada-D'Avella
81ed48cd-335c-40a9-857d-5bff2b5e8fcc,019762b4-615d-4639-a61f-bd649f57406a,156.26.7.2W.20.36.30.0N,Ahihi Cove,United States of America,Indo-Pacific,2003,30-November-03,10.0,"","","",Robin Newbold,Robin Newbold
e09fb502-5ea6-4562-85bf-c39a51a9bbc6,020a1ae0-f154-464f-bae8-c979e22bb466,156.26.19.8W.20.41.17.4N,Ahihi Kinau,United States of America,Indo-Pacific,1999,22-May-99,2.0,"","","",Carl Stepath,""
c18aa761-c9e6-464e-80b6-00946a4909d3,02d75cf6-b2de-454a-8f20-6aa0fdb3c322,158.2.36.0W.21.40.18.0N,Kaunala Beach,United States of America,Indo-Pacific,2001,08-September-01,2.0,"","","",Gail Slawson,Michelle Eich
f3c43608-24b2-40ab-a8e7-8adddbdad5d9,02f860b1-afad-4655-adad-2c04b227bf0a,159.35.4.9W.22.13.15.0N,Ke'e Beach,United States of America,Indo-Pacific,2009,13-June-09,1.5,"","","",Stephanie Krieger,Stephanie Krieger
3a4d2bd7-f328-48b2-bfa2-a0e15f017cc8,0545df2a-5c2c-44d7-817c-75cb923b004c,155.59.55.0W.19.49.6.6N,KSI,United States of America,Indo-Pacific,2006,10-February-06,11.5,"","","",Craig Shuman,Craig Shuman
6dedb09a-f4e9-435d-9415-a2d0f7ba97d6,0c27f947-a5d5-49eb-bbd6-2f87e923fdee,156.26.0.21W.20.36.54.0N,Ahihi Cove,United States of America,Indo-Pacific,2008,31-August-08,2.7,"","","",Donna Brown,Donna Brown
9d580302-4eb6-4b1c-bd0f-bb364daea24c,107eb208-b480-48f1-b53a-0b6258514393,155.39.57.1W.19.32.34.5N,Garden Eel Cove,United States of America,Indo-Pacific,2019,26-June-19,8.0,Dania Trespalacios,"Bayli Payne, Jan Freiwald, Neil Forsberg","Julian Hyde, Zain Hicks",Neil Forsberg,Neil Forsberg
c1712b62-7120-4274-b174-934fe5c554fc,122d7ca7-ec77-4499-8009-1ef7ddfbedcb,155.58.20.0W.19.35.11.0N,Kahalu'u Scuba Transect,United States of America,Indo-Pacific,1998,29-August-98,10.0,"","","","",""
9b4aa024-ccb0-4524-a7f0-791e31d0d2d1,139b75ba-acb8-43a6-8855-e7c82f3d4ee8,158.3.53.7W.21.38.51.7N,Three Tables,United States of America,Indo-Pacific,2008,15-June-08,7.0,"","","",Krista Heide Pierce,Matt Dunlap
0f85f647-a9cb-4df9-b61e-bcd8c6621ab4,147a08cb-ed32-4edc-a1a1-53c3c9ce5e9e,159.29.59.1W.22.13.12.9N,"Pu'u Poa, Princeville Beach",United States of America,Indo-Pacific,2008,14-June-08,3.0,"","","",Stephanie Krieger,Stephanie Krieger
454c32bb-66be-43c5-a38d-c727bcd0f8ce,148d52d6-2b77-4c5c-aa22-17cd220f9d4d,157.50.53.2W.21.33.14.1N,"Ka'a'awa, O'ahu",United States of America,Indo-Pacific,2005,27-February-05,1.7,"","","",Melissa Mac Garrett,David Krupp
aec85838-3c3a-4c13-977f-c047750b25e5,15e7764f-a1fb-45b7-aa61-a4cd161adabb,157.42.52.2W.21.23.34.4N,Lanikai,United States of America,Indo-Pacific,2009,08-February-09,1.2,"","","",Krista Heide Pierce,Jeff Eble
