site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,orientation_of_transect,coordinates_in_decimal_degree_format,longitude_degrees,longitude_minutes,longitude_seconds,longitude_cardinal_direction,latitude_degrees,latitude_minutes,latitude_seconds,latitude_cardinal_direction,country,state_province_island,city_town,region,distance_from_shore (m),distance_from_nearest_river (km),distance_to_nearest_popn (km),errors,what_errors,year,date,depth (m),time_of_day_work_began,time_of_day_work_ended,method_used_to_determine_location (archived field),river_mouth_width,weather,air_temp (C),water_temp_at_surface (C),water_temp_at_3_m (C),water_temp_at_10_m (C),approx_popn_size_x_1000,horizontal_visibility_in_water (m),best_reef_area,why_was_this_site_selected,sheltered_or_exposed,any_major_storms_in_last_years,when_storms,overall_anthro_impact,what_kind_of_impacts (archived field),siltation,dynamite_fishing,poison_fishing,aquarium_fish_collection,harvest_of_inverts_for_food,harvest_of_inverts_for_curio,tourist_diving_snorkeling,sewage_pollution,industrial_pollution,commercial_fishing,live_food_fishing,artisinal_recreational,other_forms_of_fishing (archived field),other_fishing (archived field),yachts,level_of_other_impacts (archived field),other_impacts,is_site_protected,is_protection_enforced,level_of_poaching,spearfishing,banned_commercial_fishing,recreational_fishing,invertebrate_shell_collection,anchoring,diving,other_specify,nature_of_protection (archived field),site_comments,substrate_comments,fish_comments,inverts_comments,comments_from_organism_sheet (archived field),grouper_size (archived field),percent_bleaching (archived field),percent_colonies_bleached (archived field),percent_of_each_colony (archived field),suspected_disease (archived field),rare_animals_details,submitted_by (archived field)
007eefec-06ec-4592-bb56-378734ecaabc,014937be-4df5-4432-b381-8d29a61835a7,155.54.43.0W.19.25.25.0N,Honaunau/Two Step,NE-SW,"19.423611, -155.911944",155,54,43.0,W,19,25,25.0,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,75.0,0.0,0.0,false,"",2008,16-March-08,10.5, 9:00 am,11:30 am,Chart,<10m,Sunny,25.0,24.0,24.0,24.0,3.0,30.0,Yes,"Area of high activity, low survey #",Sometimes,Unknown,"",Medium,"",Never,None,None,None,None,None,High,Low,None,High,None,None,"","",None,"",non-point freshwater into bay from land,true,Yes,Low (<1/month),Yes,Yes,Yes,Yes,Yes,No,aquarium collection,"","Transect run N-S, straight out at edge of reef along dropoff","",0% of recorded RKC on substrate is result of bleaching; BLUE GREEN ALGAE: 2%:15%:40%:20%…SOME COLONIES (SEVERAL COLONIES)50% COVERED IN B/G ALGAE. ALSO RED ALGAE & ASPERCATUS,"","","","","","","2,0,0,0",0,""
81ed48cd-335c-40a9-857d-5bff2b5e8fcc,019762b4-615d-4639-a61f-bd649f57406a,156.26.7.2W.20.36.30.0N,Ahihi Cove,EW,"20.608333, -156.435333",156,26,7.2,W,20,36,30.0,N,United States of America,"Hawaii, Maui",Makena,Indo-Pacific,200.0,"",0.0,false,"",2003,30-November-03,10.0, 9:00 am,12:30 pm,Gps,"",Sunny,28.0,27.0,27.0,27.0,120.0,16.0,Yes,"Popular snorkel/dive site, MPA",Sometimes,No,"",High,"",Occasionally,None,None,"","","",High,None,None,None,None,"","","",None,"","",true,"yes,on the rare occasion the 1 MC officer is there","",Yes,Yes,Yes,Yes,Yes,No,"","","I haven't seen anyone poaching but the site is remote and it could happen at night; Maui County has only one enforcement officer for the entire county; Ahihi is one of our nicest dive sites in terms of coral cover, species richness, size and density of fish","",Peacock grouper size: 25-40cm,"","","","","","",0,"Green sea turtles:  8 - 10, 1 of those with tumors",""
e09fb502-5ea6-4562-85bf-c39a51a9bbc6,020a1ae0-f154-464f-bae8-c979e22bb466,156.26.19.8W.20.41.17.4N,Ahihi Kinau,"","20.688167, -156.438833",156,26,19.8,W,20,41,17.4,N,United States of America,"Hawaii, Maui","",Indo-Pacific,"","","",true,no site description,1999,22-May-99,2.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","",very little,"","",pink band,"",""
c18aa761-c9e6-464e-80b6-00946a4909d3,02d75cf6-b2de-454a-8f20-6aa0fdb3c322,158.2.36.0W.21.40.18.0N,Kaunala Beach,NS,"21.671667, -158.043333",158,2,36.0,W,21,40,18.0,N,United States of America,"Hawaii, Oahu",North Shore,Indo-Pacific,25.0,"",10.0,false,"",2001,08-September-01,2.0, 9:00 am,12:00 pm,Chart,"",Sunny,26.7,25.6,26.1,"",5.0,7.0,"",adjacent to proposed park site,Exposed,Yes,"",Low,"","",None,None,Low,Low,None,Medium,Low,None,"","","","",Medium,"","","",false,"","","","","","","","","","","cesspools, spear/net fishing","",coral damage: appears to be bleaching on tops of a few corals,"","","","","","","","",""
f3c43608-24b2-40ab-a8e7-8adddbdad5d9,02f860b1-afad-4655-adad-2c04b227bf0a,159.35.4.9W.22.13.15.0N,Ke'e Beach,NE-SW,"22.220833, -159.584694",159,35,4.9,W,22,13,15.0,N,United States of America,"Hawaii, Kauai",Ha'ena (Hanalei),Indo-Pacific,30.0,1.0,15.0,false,"",2009,13-June-09,1.5, 9:00 am,11:00 am,Chart,<10m,Rainy,28.0,27.0,"","",2.0,10.0,No,"high impact by tourism, accessability",Sheltered,Yes,"",High,"",Never,None,None,Low,Low,None,High,None,None,None,None,Medium,"","",Few,"","fish feeding by tourists, reef damage by walking on reef",true,Yes,None,No,No,No,No,No,No,monk seal/ green sea turtle protection,"","This area gets busy fast, every day.  We had the transect line deployed by 9:00 am and people were already swimming over it.   We chose this site because of it's high tourist impact.  The transect was deployed along the northern face of the lagoon, the conditions were so calm, we were able to get far out into the channel and deploy the transect diagonally (SW-NE) along the reef bench totaling 100m.  This section of the lagoon gets a lot of impact from recreational snorkelers.  The amount of sediment and rock (old coral) indicates over and inappropriate use.  Lifeguards, which are new to the beach as of last year, do a good job of ""sounding the bullhorn"" when people appear to be standing on the reef.","","OT= algae which is not a nutrient indicator including Galaxaura rugosa, Amansia glomerata.  Other algae noted not necessarily the NIA listed, include Microdictyon sp, Neomeris annulata, Padina sp, Turbinaria sp, Dictyota sp.; Recorded jack is a juvenile. A few schools of hundreds of Nehu (sp. name not sure). Giant black sea cucumber about 8""wide and 20"" long at 44m.  Some very large Naso unicornis just outside the transect line where it started to get deep.","","","","","","",0,two spaghetti worms,""
3a4d2bd7-f328-48b2-bfa2-a0e15f017cc8,0545df2a-5c2c-44d7-817c-75cb923b004c,155.59.55.0W.19.49.6.6N,KSI,NE-SW,"19.8185, -155.998611",155,59,55.0,W,19,49,6.6,N,United States of America,"Hawaii, Hawaii",Kona,Indo-Pacific,100.0,"",25.0,false,"",2006,10-February-06,11.5,12:20 pm, 1:25 pm,Gps,"",Sunny,"","","","",10.0,15.0,"","",Exposed,Unknown,"",Low,"",Never,None,None,None,Low,Low,Medium,None,None,Low,None,Medium,"","",Few,"","",true,Yes,"Medium (>1/month, <1/wk)",No,No,No,No,No,No,aquarium harvesting,"","","","","","","","","","",0,helmet shell,""
6dedb09a-f4e9-435d-9415-a2d0f7ba97d6,0c27f947-a5d5-49eb-bbd6-2f87e923fdee,156.26.0.21W.20.36.54.0N,Ahihi Cove,EW,"20.615, -156.433392",156,26,0.21,W,20,36,54.0,N,United States of America,"Hawaii, Maui",Makena,Indo-Pacific,100.0,"",5.0,false,"",2008,31-August-08,2.7,11:00 am, 3:00 pm,Chart,"",Rainy,29.4,26.1,25.5,25.5,30.0,10.0,Yes,natural area reserve,Sheltered,No,"",Low,"",Occasionally,None,None,None,None,None,High,Low,None,None,None,None,"","",None,"","",true,"",Low (<1/month),Yes,Yes,Yes,Yes,Yes,No,No boats/no commercial activity,"","","","","","","","","","","10,5,0,0","",""
9d580302-4eb6-4b1c-bd0f-bb364daea24c,107eb208-b480-48f1-b53a-0b6258514393,155.39.57.1W.19.32.34.5N,Garden Eel Cove,"","19.542917, -155.665861",155,39,57.1,W,19,32,34.5,N,United States of America,"Hawaii, Hawaii",Kailua-Kona,Indo-Pacific,30.0,"",10.0,false,"",2019,26-June-19,8.0,11:00 am,11:50 am,"","","",27.0,27.8,"",26.0,50.0,15.0,"","","","","","","","","","","","","","","","","","","","","","","",some anchor damage,true,"","","","","","","","","","",This site resides within an MPA that limits most removal activity,"","","","","","","","","","",""
c1712b62-7120-4274-b174-934fe5c554fc,122d7ca7-ec77-4499-8009-1ef7ddfbedcb,155.58.20.0W.19.35.11.0N,Kahalu'u Scuba Transect,NS,"19.586389, -155.972222",155,58,20.0,W,19,35,11.0,N,United States of America,"Hawaii, Hawaii","",Indo-Pacific,150.0,"",0.0,false,"",1998,29-August-98,10.0,10:00 am, 1:00 pm,Gps,"",Sunny,29.4,27.8,27.8,26.5,9.0,25.0,"","",Exposed,Yes,"",Medium,"","",None,None,Medium,Low,Low,Low,Low,None,"","","","",Low,"",Medium,"",true,"","","","","","","","","",see comments,"State Fishing Laws; Size & Season, no number limits.","",1 yellow goatfish,"","","","","","","","",""
9b4aa024-ccb0-4524-a7f0-791e31d0d2d1,139b75ba-acb8-43a6-8855-e7c82f3d4ee8,158.3.53.7W.21.38.51.7N,Three Tables,NE-SW,"21.647694, -158.064917",158,3,53.7,W,21,38,51.7,N,United States of America,"Hawaii, Oahu",Haleiwa,Indo-Pacific,150.0,1.0,5.0,false,"",2008,15-June-08,7.0,10:15 am,11:45 am,Gps,<10m,Sunny,30.0,"","","",5.0,30.0,Yes,marine life conservation district,Exposed,Yes,every winter,Medium,"",Occasionally,None,None,None,None,None,High,Low,None,None,None,None,"","",Medium,"",Much of the North shore uses cesspools for waste treatment.  There is a public restroom within 50-100 feet of the water's edge.,true,Yes,Low (<1/month),Yes,Yes,Yes,Yes,No,No,"","","This is a very popular dive site.  In the summer months, I would guess between 40-60 divers go diving here on a daily basis.  Large parrotfish, schools of mu (emperorfish) and other popular food fish are common here, unlike most areas of Oahu.","","Several instances of coral zits on Porites lobata (5-10 colonies). Also several instances of broken Pocillopora branches, probably grazing scars from large parrotfish, but possibly diver impacts.","","","","","","","1,0,0,1",Spanish dancer nudibranch,""
